Pixel,Cost of Pixel,Tuna Suitability,Shark Suitability
1,1.177930745,2.176928326,1.525585969
2,1.261698423,2.189138581,1.124181803
3,1.301366043,2.187581064,2.418395073
4,1.085244978,2.146812214,2.463603873
5,1.165133088,2.115478258,2.504836299
6,1.208530939,2.214185237,2.419945677
7,1.178216326,2.141004813,2.50292058
8,1.138313931,2.095197802,1.907025117
9,1.03432369,2.061560857,2.480743277
10,1.239148946,2.077961759,2.269483807
11,1.294166692,2.228742952,2.273948039
12,25.00141515,2.068583744,2.338084217
13,20.48939483,2.235007267,2.405210002
14,13.23195513,2.080944274,2.373682777
15,1.207419488,2.17895049,2.304429792
16,20.38039934,2.064817078,2.34285568
17,9.634940286,2.083035643,2.387782698
18,1.308573987,2.238873374,2.288189103
19,1.067321613,2.234018193,2.43613249
20,1.169825932,2.059006098,2.424499418
21,1.033065128,2.209809456,2.382741656
22,1.211039584,2.058787632,2.286424966
23,1.097954137,2.15231197,2.272743518
24,1.250808886,2.253278247,1.664048666
25,1.163136299,2.175515216,2.354911559
26,1.114288975,2.061310417,2.438936056
27,1.113280751,2.073789812,2.560365976
28,1.191164217,2.162998059,2.777842675
29,1.316730232,2.093881443,2.90322698
30,1.236819775,2.24070264,2.617759038
31,1.090487369,2.070218902,2.302332806
32,1.140097097,2.187594998,2.28266353
33,1.272308477,2.237684438,2.409251678
34,24.93054798,2.105194719,2.279027734
35,24.9668807,2.087407494,2.446477326
36,30.2050977,2.14364547,2.289605009
37,23.54671033,2.187025381,2.375495513
38,23.40839206,2.199552814,2.416699567
39,16.37856957,2.157715972,2.374705195
40,1.222093011,2.129911892,2.828100436
41,1.067113159,2.167293132,2.329004543
42,1.2687608,2.142602927,2.440673897
43,1.279866414,2.112621745,2.314855118
44,1.18511507,2.119185749,2.80096718
45,1.06831568,2.807834022,2.408562059
46,1.2408417,2.866047791,1.999143329
47,1.307003172,2.893300173,2.017334966
48,1.048163374,2.939654967,2.024005279
49,1.160754664,2.897662629,2.297856111
50,1.07962718,2.890090118,2.296112424
51,1.044311434,2.960398101,2.281556902
52,1.109205857,2.927843088,2.409574328
53,1.251908497,2.824813349,2.434042619
54,16.72267269,2.921170659,2.321789538
55,11.01944134,2.878591322,1.991281246
56,10.18967429,2.893033669,1.960313759
57,23.60895816,2.981516833,1.936500252
58,29.23717836,2.817200688,2.391976412
59,25.45316301,2.822452981,2.38111529
60,29.34073433,2.802846072,2.437002815
61,14.93353742,2.890346967,2.357179122
62,15.16170504,2.832703996,2.403106629
63,1.248785929,2.890132168,2.443058153
64,15.62585577,2.860608459,2.44125786
65,1.191483999,2.811985768,2.814986163
66,1.253468962,2.813532906,2.845191572
67,1.262867926,2.998621143,2.270679092
68,1.108043976,2.802122683,2.371030213
69,10.23539926,2.810672017,2.312132272
70,1.32094881,2.89363217,2.570936745
71,1.11121172,2.833706729,2.848716213
72,1.249606657,2.948898288,2.42119825
73,1.238932691,2.883936675,2.381193882
74,1.281610254,2.858596161,2.274342353
75,1.069664316,2.942030393,2.367786974
76,10.24803906,2.972145282,2.350476854
77,12.16730355,2.938179725,2.268302446
78,1.076320749,2.823658752,2.28479451
79,18.41723243,2.86377567,2.324674481
80,21.4651086,2.912409168,2.335455011
81,32.33896501,2.808178285,2.423420104
82,28.6677908,2.822859767,2.35854313
83,27.33108394,2.86447665,2.270145709
84,25.86236113,2.944335718,2.294038705
85,16.09108967,2.812286957,2.45741257
86,25.73335359,2.871871575,2.294443407
87,10.85343354,2.987016291,2.740150045
88,1.270999591,2.808438107,2.764755446
89,1.031318336,2.886145461,2.02709819
90,14.04652286,2.931586635,1.956171978
91,17.13828929,2.800134225,1.980027569
92,1.162718197,2.908776291,2.189768297
93,1.149001331,2.979865997,1.953719763
94,1.233307751,2.968318955,2.004811461
95,1.135577565,2.938104824,2.023003016
96,1.252958635,2.850944056,1.98733583
97,19.56915016,2.862021809,2.022852209
98,15.67124704,2.901770029,1.938709428
99,1.095262564,2.871747064,1.979521964
100,14.87785465,2.939802558,1.903056865
101,1.234994536,2.837865103,1.903029683
102,20.47512538,2.894819279,1.975006847
103,32.10414921,2.923595809,1.871341544
104,24.8400224,2.866096491,1.950621829
105,29.03825423,2.844553,2.017531858
106,31.60796332,2.936214044,1.960379385
107,9.939733929,2.851264744,1.984605974
108,19.48147118,2.837484633,1.944974321
109,1.285317959,2.935077882,1.961285338
110,1.320652056,2.939958928,2.009506326
111,15.43006571,2.972190717,1.974488575
112,1.229251397,2.860939141,2.048490623
113,12.2971515,2.952845446,1.997207767
114,1.135660907,2.945637426,1.930035486
115,1.185276973,2.810062277,1.968603487
116,1.253253233,2.9347948,2.002412616
117,1.211435387,2.878293325,2.042495711
118,14.28900253,2.944271851,1.960691461
119,21.78440707,2.914475861,1.98975941
120,15.99533479,2.839893624,2.046782138
121,1.299359507,2.89073895,1.986546767
122,1.283690431,2.828039437,1.925694547
123,1.210825688,2.903605504,2.010584038
124,13.22297276,2.83582381,1.983296615
125,16.12242002,2.9603858,1.94059471
126,20.79495283,2.923808078,1.973157204
127,19.19306771,2.858798655,2.065947935
128,17.94755352,2.886455317,1.966465127
129,15.6475405,2.868687379,2.057665789
130,1.21611934,2.804143682,1.981346366
131,1.236811554,2.980458784,1.960466358
132,1.053672995,2.98896859,2.039822049
133,9.957601729,2.514748797,2.58944886
134,1.155301842,2.519080236,2.37609769
135,1.159998932,2.508279037,1.763480001
136,1.237654639,2.625753279,1.94765617
137,1.033303672,2.918929814,1.89440264
138,1.141015901,2.90264689,1.755943863
139,1.199830487,2.863711946,1.852116769
140,24.50577815,2.855285061,1.883553887
141,30.12045624,2.909360001,1.914066664
142,19.06345406,2.845729443,1.837384342
143,14.06641687,2.831530343,1.844990281
144,1.168617509,2.943608847,1.748097587
145,1.264769272,2.837276793,1.825840556
146,1.217031592,2.834238188,1.778853264
147,1.032680277,2.904653326,1.754148062
148,1.327039217,2.863240257,1.816202065
149,1.096836654,2.864304453,1.882258763
150,1.118714942,2.978857126,1.808420891
151,1.326481485,2.890019888,1.86555004
152,1.211800375,2.95427891,1.90815952
153,1.050034213,2.995974741,1.874308056
154,1.215567485,2.844770908,1.790560103
155,5.888523782,2.511019227,1.848537266
156,1.296385756,2.623234516,1.820359318
157,1.101648741,2.5238452,1.733525358
158,1.311455065,2.501837535,1.779454064
159,1.12404737,2.929453545,1.769596037
160,1.172139621,2.877062251,1.856331158
161,1.164169015,2.975364023,1.822093849
162,21.04629848,2.841428595,1.84795754
163,22.81967664,2.802126326,1.917043991
164,17.21802187,2.894642072,1.841739325
165,1.082846939,2.900006968,1.779376523
166,1.257112851,2.939841302,1.755144561
167,1.057985971,2.999400408,1.853131956
168,1.045535177,2.898566961,1.907768198
169,1.130404292,2.986511414,1.780160052
170,1.26859421,2.955778582,1.842725842
171,1.314415236,2.873296126,1.772219984
172,1.05255387,2.862433503,1.929339118
173,1.190268205,2.970570476,1.886555695
174,1.284192938,2.998218776,1.867410069
175,1.22830394,2.840832362,1.743758209
176,1.073673619,2.8063085,1.80123629
177,1.037641685,2.356921319,1.857941761
178,1.300632538,2.410216033,1.753521651
179,1.133641142,2.335306838,1.801810667
180,1.097319486,2.299900491,1.765611665
181,1.235908512,2.378726888,1.849103114
182,1.115431591,2.409199985,1.736484429
183,1.234498842,2.313149929,1.743073139
184,1.063770874,2.320998775,1.739023534
185,11.27954707,2.4031981,1.91277689
186,1.117248861,2.380582094,1.834637083
187,1.119063003,2.27739584,1.853925823
188,3.500431612,2.281433955,1.837639927
189,1.122859015,2.265231834,1.791085899
190,1.113062517,2.439118782,1.872313041
191,1.29603981,2.354421169,1.776348035
192,1.036362794,2.415357377,1.76058526
193,1.073014438,2.331968633,1.768897592
194,1.170722953,2.439785182,1.914865974
195,1.289847375,2.276004168,1.746611785
196,1.159338392,2.435327636,1.911368277
197,1.25292357,2.34417352,1.824642683
198,1.243991838,2.411061523,1.790597992
199,1.28047825,2.253272929,1.885883041
200,1.131402246,2.289201179,1.853621755
201,1.136931023,2.273421758,1.761340026
202,1.102189151,2.296918383,1.898058812
203,1.055029313,2.391707108,1.860005904
204,1.157338023,2.32124053,1.826325408
205,1.118913739,2.368961121,1.918994507
206,1.324547915,2.247123909,1.81883893
207,1.196531696,2.371918252,1.858761236
208,1.088910963,2.282663896,1.775986908
209,5.06379617,2.335704982,1.8195619
210,1.111019622,2.433163687,1.809959272
211,1.189294624,2.420559519,1.863194407
212,1.08319309,2.305464004,1.778348994
213,1.106695,2.271841729,1.823573699
214,1.162762523,2.360420879,1.857699083
215,1.208256686,2.307086151,1.835396296
216,1.124766207,2.408418337,1.899792559
217,1.124677464,2.422324552,1.919874022
218,1.078180371,2.31540973,1.762862201
219,1.249882176,2.30892798,1.745271731
220,1.237930475,2.403239222,1.851346534
221,1.100800705,1.746418214,1.791825453
222,1.266328785,1.818110841,1.909049384
223,1.113306608,1.866839652,1.800413433
224,1.267948879,1.806003342,1.873873811
225,1.094858398,1.825399632,1.930128336
226,1.097306954,1.731913455,1.927167027
227,1.124607615,1.732222652,1.746406022
228,1.290314562,1.840864993,1.825639484
229,1.117344496,1.868393736,1.823019583
230,1.05050344,1.723863395,1.743170047
231,1.165090211,1.756144282,1.746481453
232,1.275028021,1.789900786,1.900901179
233,1.084138418,1.777420006,1.841206708
234,1.243031531,1.701784687,1.908945006
235,1.154584469,1.687058822,1.824254168
236,1.069780311,1.770413532,1.889494146
237,1.322347748,1.760915211,1.810256326
238,1.161667335,1.740078449,1.850967408
239,1.213976095,1.826535091,1.821013764
240,1.165959982,1.700642923,1.835437077
241,1.238196558,1.874583752,1.909812361
242,1.288809058,1.997380737,1.790989924
243,1.143847843,1.834514541,1.851557161
244,1.146990929,1.729149649,1.743601208
245,1.110429072,1.708297706,1.770686222
246,1.328863543,1.875115489,1.913135464
247,1.279854797,1.785636442,1.759161675
248,1.152865649,1.684610422,1.893929148
249,1.250521929,1.712440613,1.887013871
250,1.323990148,1.748369722,1.759228814
251,1.147034859,1.836892394,1.764332749
252,1.271686647,1.873948461,1.814237219
253,1.13943068,1.870960853,1.8687481
254,1.106917697,1.739053874,1.884235042
255,1.087456338,1.724269928,1.871923994
256,1.163879974,1.736342434,1.738436584
257,11.99753094,1.797183746,1.864745927
258,11.81456969,1.752518721,1.76471465
259,8.813359487,1.856244746,1.795702608
260,1.273481156,1.817891013,1.931082306
261,1.227040925,1.703989628,1.765805772
262,1.259802729,1.683034174,1.767439572
263,1.303284678,1.939956803,1.830013155
264,1.262900709,1.92153285,1.744744673
265,1.224726788,1.693577845,1.610725108
266,1.08001328,1.69345699,1.55107683
267,1.160999542,1.777561241,1.479384408
268,1.036738269,1.733893111,1.664433994
269,1.19725502,1.691752537,1.637881326
270,1.138391672,1.849813066,1.568869403
271,1.327506274,1.722126429,1.569067089
272,1.203267038,1.834806856,1.655578072
273,1.07703594,1.805264056,1.319966951
274,1.319355117,1.689797231,1.264797151
275,1.110887339,1.710898482,1.252010361
276,1.224145421,1.775577472,1.256225693
277,1.323389733,1.777763503,1.220221405
278,3.992828645,1.858444067,1.24285909
279,1.065275653,1.690441442,1.654952429
280,1.07069617,1.700110198,1.580318945
281,1.035360729,1.753632287,1.527202696
282,1.15315993,1.863417841,1.52646884
283,1.068268973,1.712475887,1.570631103
284,1.195258065,1.774820821,1.659924827
285,13.06750988,1.82050134,1.512342513
286,5.659947569,1.722888307,1.658112399
287,1.286046183,1.790891261,1.522585407
288,1.081902716,1.83248944,1.629954063
289,1.207959369,1.789890289,1.52064481
290,1.102564344,1.725467161,1.657033218
291,1.246455238,1.767445675,1.661216545
292,1.233151991,1.731585127,1.537453648
293,1.298717503,1.847625815,1.565167534
294,1.118402306,1.724563635,1.523677835
295,1.149252213,1.831128742,1.209204854
296,1.062453168,1.750177731,1.291760653
297,1.160832844,1.847682859,1.369562486
298,4.494567348,1.681857604,1.337188881
299,6.996319968,1.718705529,1.350124436
300,1.258521179,1.858314028,1.327019287
301,18.68476778,1.694815798,1.585669571
302,18.98077772,1.815082779,1.498032519
303,13.37629167,1.711496001,1.578358267
304,1.163282042,1.731938192,1.5159853
305,1.032447841,1.833630721,1.47326609
306,1.102210886,1.696304638,1.664163586
307,1.037922497,1.796774974,1.494065373
308,1.056087174,1.866126587,1.625890847
309,1.098788323,1.815798636,1.375648187
310,1.308958166,1.696801075,1.276261417
311,1.037756307,1.732166752,1.365631204
312,1.062831083,1.711471996,1.389433505
313,1.179381084,1.685224909,1.264174014
314,1.213569151,1.740934728,1.530853312
315,1.042821109,1.847866084,1.40584984
316,1.3148994,1.817650154,1.492617974
317,5.378182433,1.692966757,1.844980184
318,7.191285017,1.823235532,1.307406462
319,6.658300542,1.837323051,1.493369402
320,1.049282694,1.769689587,1.38541214
321,1.041218198,1.781906539,1.328592269
322,1.159499056,1.802772235,1.375525878
323,13.70612557,1.692542984,1.288498146
324,21.01275994,1.837462803,1.245036786
325,21.171704,1.831347643,1.344390864
326,23.40446604,1.746355061,1.266626929
327,8.347690098,1.845990551,1.382340803
328,1.034316837,1.841094251,1.338266954
329,7.134482393,1.818541625,1.249660038
330,1.108640249,1.72689221,1.207984329
331,17.56145303,1.772471163,1.344526816
332,18.41213023,1.812721965,1.354284199
333,1.206812967,1.791495467,1.345262256
334,11.54843339,1.726204833,1.325543229
335,13.63725359,1.749301498,1.780404847
336,27.06495174,1.828408158,2.701965015
337,27.15851296,1.727884905,2.727223972
338,36.54547096,1.784013318,2.090719499
339,48.4131846,1.795917837,2.543850904
340,20.54024134,1.806236728,2.000656556
341,1.094740491,1.698237156,1.867631419
342,1.155990735,1.873076218,1.365610829
343,7.217071109,1.850345856,1.223215055
344,12.64377787,1.808823429,1.368206831
345,20.08891694,1.769791518,1.374506575
346,24.9872397,1.852651535,1.280327394
347,23.93097032,1.722335626,1.31288881
348,31.54720598,1.8554686,1.391741059
349,16.49168151,1.748757358,1.254971731
350,20.60225592,1.847668243,1.263748337
351,19.35213142,1.75538917,1.251758679
352,23.57014136,1.759837464,1.228989806
353,34.4719176,1.502295824,0.940954695
354,44.15933978,1.452760141,0.992166087
355,41.22115888,1.423633266,1.90101207
356,28.55611187,1.342223596,1.807231721
357,31.08980712,1.388378314,1.896869451
358,51.09547531,1.450532347,2.983564639
359,42.14545926,1.375431118,2.29059288
360,22.59175143,1.363795853,1.897311329
361,28.15646858,1.503464798,1.803756403
362,24.61727944,1.468636728,1.797594666
363,10.49748194,1.373383412,1.746185427
364,17.65233371,1.468297524,1.015190463
365,14.06474715,1.405596195,1.004523898
366,18.99943612,1.451942796,0.941473495
367,23.72492048,1.451291845,0.98935002
368,29.60642362,1.490793531,1.055430355
369,24.37504168,1.444849505,1.130974584
370,30.609532,1.371494195,0.934879335
371,30.54354297,1.505606036,1.033069809
372,27.40150866,1.489091971,1.052585921
373,21.09049727,1.417788312,1.058040116
374,26.24461918,1.401712576,1.100792229
375,47.81864495,1.389480495,2.124243587
376,52.77382459,1.337885326,2.451812928
377,57.42868166,1.447848089,1.781138852
378,50.86882047,1.453587427,1.795139439
379,38.33073034,1.334956788,1.218853613
380,56.24061708,1.410336151,1.658332713
381,41.95861235,1.421002755,1.556980059
382,39.51851452,1.497931734,1.632215194
383,40.09569437,1.389119565,2.450643126
384,39.03985704,1.364096699,1.08011168
385,32.00991171,1.327133592,1.843012423
386,31.53417023,1.373329238,1.51703071
387,23.5051456,1.315027745,1.105210344
388,23.87449694,1.502268211,0.964128314
389,25.84855479,1.42028272,0.937086558
390,28.53154163,1.418687722,1.12275392
391,19.92192498,1.36654431,1.036214647
392,23.72435531,1.495148203,0.990007001
393,35.84423428,1.417071457,1.020941433
394,34.64648933,1.432856459,0.973590222
395,30.49174359,1.475182835,1.130802823
396,32.33956812,1.340525514,1.052300273
397,50.44939715,1.315521303,1.379814097
398,51.48796894,1.436417561,1.386090861
399,50.0129234,1.306843277,1.147275362
400,55.17989498,1.446949366,1.820665631
401,47.63241693,1.313624812,1.180523368
402,45.30014906,1.472330046,1.05724085
403,45.0542725,1.392621922,1.118023456
404,42.03258992,1.340280237,1.030404518
405,44.62712968,1.43938483,1.878141
406,46.7601243,1.495627951,1.112781937
407,41.32963546,1.321213544,1.118234257
408,37.2534115,1.444219637,1.100088101
409,34.03668899,1.477712992,1.032015816
410,28.34446191,1.415312516,0.98115744
411,28.52630468,1.443551286,1.004818818
412,34.66433227,1.499086822,1.097947256
413,27.64712002,1.375207926,1.069604359
414,20.47727323,1.496874962,0.933507344
415,22.39396666,1.324470981,1.062897992
416,25.20848947,1.504394113,0.963615607
417,9.768645484,1.503535834,1.126006087
418,20.21830995,1.354176665,1.125702112
419,44.50392764,1.390384872,1.102464165
420,47.34798366,1.488864002,1.09417282
421,48.13590448,1.343965502,1.919989317
422,50.88284376,1.312607494,1.802032012
423,45.80545693,1.448182314,1.249869721
424,38.88830949,1.309818448,0.970493263
425,37.94544401,1.442619051,1.057720153
426,34.55483217,1.468314005,1.073752058
427,40.3808279,1.433653724,1.126145622
428,41.32679268,1.32203878,0.997795154
429,43.76693896,1.317661266,0.99191785
430,38.80884168,1.340796178,1.09413807
431,33.39311504,1.400822577,1.023431007
432,29.99641344,1.395093229,1.015808883
433,20.73856779,1.454489618,0.950638716
434,31.40174621,1.416933214,1.110978342
435,29.83815235,1.365637239,0.979496652
436,23.48382464,1.410022496,1.11393455
437,16.10730332,1.370701896,0.967134484
438,1.299408743,1.416662145,0.975654893
439,12.50663514,1.412897015,0.988314444
440,13.19701944,1.425460306,0.993133765
441,22.8802624,0.905352827,1.213979522
442,31.32896239,0.928147274,1.13083289
443,36.16774551,0.940264651,1.805274142
444,36.95195938,0.919009171,1.228904707
445,25.84148693,0.806032223,0.96475137
446,22.14318611,0.828607345,1.095215001
447,10.36091845,1.361838152,1.054154415
448,16.56911987,1.457780695,1.027009351
449,31.19381264,1.473645737,1.074072297
450,30.53765579,1.331919869,1.105528473
451,33.09179372,1.410512115,0.982052906
452,30.56424992,1.39154588,1.077201555
453,29.82804968,0.940600675,0.942304897
454,29.85555496,0.836001129,0.998368614
455,24.11433915,0.798611601,0.995592168
456,23.85415352,0.938639299,1.256082853
457,21.3738736,0.858931068,0.758906035
458,1.187939475,0.842246278,0.792018786
459,1.269246012,0.84360407,0.849372275
460,1.210236156,0.786719068,0.852820656
461,10.55808318,0.936244508,0.723514169
462,1.187832686,0.800004241,0.730245354
463,1.272302133,0.834147436,1.256998072
464,22.13840277,0.845771752,1.081788956
465,7.97044256,0.935230211,1.088204025
466,18.64731404,0.809835885,1.015843227
467,13.7326094,0.937996423,0.934596607
468,13.68281481,0.746693452,0.956036773
469,1.133560152,1.378134297,1.085581577
470,1.065157582,1.362334957,0.958435177
471,17.18769065,1.316653935,0.937590763
472,22.83998637,1.417896419,1.072608318
473,20.76574024,1.321933595,1.082318445
474,20.58089669,1.497133694,0.972618242
475,17.56444923,0.907279166,1.030514074
476,22.43044108,0.906374809,1.202665582
477,15.99479512,0.871813878,1.146215847
478,12.45923448,0.823599752,1.182302516
479,14.15945555,0.939494363,0.726613549
480,1.214501519,0.792358196,0.858584151
481,1.274856922,0.783226415,0.743054932
482,1.172080384,0.927477988,0.705780917
483,1.170240816,0.818183956,0.80662579
484,1.048547605,0.811595856,0.758458304
